YEAR,MONTH,DAY,RAINFALL,TMAX,TMIN,RH
2020,1,1,1.2,32.2,25.9,76
2020,1,2,9.4,30.4,24.4,83
2020,1,3,0.6,30.6,23.3,81
2020,1,4,0,30.2,24.4,77
2020,1,5,2,30.6,24.9,78
2020,1,6,0,30.3,24.2,79
2020,1,7,0,30.3,25.4,79
2020,1,8,15.2,31,23.8,77
2020,1,9,0.4,30.1,24.6,78
2020,1,10,0.6,31.5,25.2,78
2020,1,11,0.4,30.9,25.2,82
2020,1,12,0.2,28,23.6,83
2020,1,13,0,30.2,25,80
2020,1,14,0,31.1,25.6,77
2020,1,15,-1,31.2,25.7,83
2020,1,16,2,31.8,25,82
2020,1,17,0,31.7,26,77
2020,1,18,0,31.9,25,80
2020,1,19,5.6,31,24.2,83
2020,1,20,8.6,28.2,23.6,85
2020,1,21,0.2,30,25,72
2020,1,22,1.2,29.2,24.9,80
2020,1,23,0,30.7,25.3,71
2020,1,24,3.2,31,25.6,80
2020,1,25,-1,30.8,24.9,84
2020,1,26,0,31.8,24.9,80
2020,1,27,0,32.4,25.4,82
2020,1,28,0,32.5,25.2,79
2020,1,29,0,32.2,25.2,80
2020,1,30,0,31.1,24.3,78
2020,1,31,0,31.4,24.5,71
2020,2,1,0,30.3,23.6,72
2020,2,2,2.2,30.2,23,73
2020,2,3,-1,29.7,22.4,65
2020,2,4,0,29.2,24.2,70
2020,2,5,55.4,31.6,24,76
2020,2,6,30.6,27,24.5,95
2020,2,7,37.1,29.6,24.3,89
2020,2,8,0,30.4,23.2,80
2020,2,9,47,30.6,23.3,79
2020,2,10,4,29.3,23.5,82
2020,2,11,0,29.8,23.7,72
2020,2,12,3.8,30,23.9,77
2020,2,13,0,29.6,24.1,80
2020,2,14,0,30.5,25.6,77
2020,2,15,0,30.4,23.9,75
2020,2,16,-1,30.1,25,75
2020,2,17,1,30.1,24.6,81
2020,2,18,-1,30.5,24.9,79
2020,2,19,2.9,30.4,24.4,78
2020,2,20,9.4,29.6,23.3,82
2020,2,21,5.4,30.7,23.6,78
2020,2,22,0,30.1,23.6,78
2020,2,23,0.8,30.6,24.1,75
2020,2,24,0,30.3,24.7,77
2020,2,25,1.1,31.2,25.9,77
2020,2,26,0,30.9,24.7,73
2020,2,27,4.7,30.6,24.6,84
2020,2,28,0.6,29.8,24.7,83
2020,2,29,0,30.4,24.2,69
2020,3,1,0,30.6,24.4,69
2020,3,2,0,30.8,24,71
2020,3,3,0,30.1,23.8,71
2020,3,4,0,30.6,26.8,73
2020,3,5,1.1,32,25.9,79
2020,3,6,2.1,32.2,25.7,83
2020,3,7,0,31.1,25.6,81
2020,3,8,0,32.4,25,79
2020,3,9,0,32.6,23.9,71
2020,3,10,0,32.7,25.7,74
2020,3,11,0,32.3,25.9,71
2020,3,12,0,32.8,24.3,65
2020,3,13,0,32.3,23.8,71
2020,3,14,0,32.8,24.1,71
2020,3,15,0,32.5,24.9,65
2020,3,16,0,32.3,23.8,62
2020,3,17,0,32,25.4,68
2020,3,18,0,31.6,25.8,73
2020,3,19,0,31.5,24.8,73
2020,3,20,0,32.7,24.9,69
2020,3,21,0,32.5,26.1,72
2020,3,22,0,32.3,24.6,71
2020,3,23,0,32.5,24.7,68
2020,3,24,0,32.8,25.2,67
2020,3,25,1,31.4,24.1,71
2020,3,26,3,31.8,24.3,81
2020,3,27,0,32.2,25.9,72
2020,3,28,-1,32.4,24.6,73
2020,3,29,0,32.1,25.6,68
2020,3,30,0,32.5,24,67
2020,3,31,0,32.6,24.3,66
2020,4,1,0,32.9,24.8,69
2020,4,2,0,33,25.4,69
2020,4,3,0,33,25.5,77
2020,4,4,0,33.1,24.6,67
2020,4,5,0,32.5,25.5,67
2020,4,6,0,32.9,24.2,67
2020,4,7,0,34.1,25.2,69
2020,4,8,0,33.9,25.2,73
2020,4,9,0,33.8,25.9,71
2020,4,10,0,32.9,25,70
2020,4,11,0,32.5,24.1,67
2020,4,12,0,33.6,24.1,68
2020,4,13,0,34.4,25,68
2020,4,14,0,34,24.5,69
2020,4,15,0,33.6,25.8,70
2020,4,16,0,34.3,25.8,68
2020,4,17,0,34,27,71
2020,4,18,0,33.3,26.4,72
2020,4,19,-1,33.8,26.7,69
2020,4,20,0,33.5,27.7,75
2020,4,21,0,33.2,26.4,79
2020,4,22,0,33.8,26,72
2020,4,23,-1,33.9,27.1,74
2020,4,24,0,33.4,27.4,75
2020,4,25,0.3,33,26.7,74
2020,4,26,0,33.5,26.9,68
2020,4,27,-1,33.4,26.3,75
2020,4,28,0,32.4,25.8,76
2020,4,29,0,33.1,26.9,69
2020,4,30,0,33.6,26.1,71
2020,5,1,0.6,33.4,24.9,75
2020,5,2,5.8,32.7,26,76
2020,5,3,3.6,30.8,26.3,87
2020,5,4,-1,33.3,26.9,77
2020,5,5,0,33.7,27.4,76
2020,5,6,0,35.5,27.6,72
2020,5,7,2.2,35.6,25.9,74
2020,5,8,0,34.7,27.7,72
2020,5,9,0,34.8,26.6,71
2020,5,10,0,35.6,27.4,71
2020,5,11,0,34.3,27.8,72
2020,5,12,-1,34.1,26.3,82
2020,5,13,1.2,34.1,26.9,77
2020,5,14,6,34,27.3,80
2020,5,15,0,33.8,28.4,77
2020,5,16,0,33.3,27.2,79
2020,5,17,0,34.3,28.2,71
2020,5,18,0,34.2,28.1,72
2020,5,19,0,34.9,28,74
2020,5,20,0,34.6,27.9,78
2020,5,21,0,34.9,26.2,76
2020,5,22,0,34.9,26.1,75
2020,5,23,0,33.9,27.2,73
2020,5,24,0,34.9,27.3,71
2020,5,25,0,35.1,27.4,73
2020,5,26,0,34.7,26.4,72
2020,5,27,0.2,34.9,28.2,73
2020,5,28,9.8,34,25.8,78
2020,5,29,3.2,33.5,25.7,77
2020,5,30,0.4,33.6,26.7,75
2020,5,31,3.6,32.4,25.9,75
2020,6,1,1,34.1,25.8,71
2020,6,2,0,33.8,26.3,71
2020,6,3,0,34.1,26.8,70
2020,6,4,9.6,34.8,25.2,72
2020,6,5,0.2,33.5,26.3,76
2020,6,6,1.2,34.2,26,70
2020,6,7,1.4,32.7,25.6,77
2020,6,8,0,32.6,26.2,77
2020,6,9,5,32.8,26.4,75
2020,6,10,31.6,28.6,25,90
2020,6,11,0.8,31,26.3,80
2020,6,12,0,31.3,25.9,78
2020,6,13,0,32.5,26.9,73
2020,6,14,0,31.8,27.1,75
2020,6,15,6,32.6,24,78
2020,6,16,1,31.4,26,79
2020,6,17,0.4,32.8,26.2,78
2020,6,18,8.3,30.5,24.7,88
2020,6,19,-1,31.1,25.1,84
2020,6,20,5,32.8,26.4,74
2020,6,21,5,32.4,25.9,78
2020,6,22,0.8,32.4,26.2,75
2020,6,23,0,32.5,26.2,74
2020,6,24,3,32.3,25.4,78
2020,6,25,0.4,32.3,26.2,80
2020,6,26,7.8,31.7,24.7,80
2020,6,27,7,31.3,25.2,83
2020,6,28,5.6,31.8,24.9,79
2020,6,29,2.4,30.5,23.4,86
2020,6,30,0,31.3,25.5,82
2020,7,1,-1,32.2,25.6,75
2020,7,2,0.4,31.9,26.7,76
2020,7,3,7.2,31.3,25,86
2020,7,4,4,32.1,25.3,78
2020,7,5,0,32.2,25.3,79
2020,7,6,0,31.7,25.9,76
2020,7,7,0,31.6,26.7,75
2020,7,8,20.4,32.4,24.7,77
2020,7,9,0.1,32.3,26.2,80
2020,7,10,21.2,33.3,23.8,80
2020,7,11,0.3,32.2,25.6,82
2020,7,12,5,32.8,25.8,76
2020,7,13,0,33.4,26.6,77
2020,7,14,20,32.5,25.1,78
2020,7,15,0.2,32.6,26.6,80
2020,7,16,0,32.4,26.6,77
2020,7,17,4.5,31.8,25.8,78
2020,7,18,-1,31,26.3,78
2020,7,19,1.2,31.6,25.5,77
2020,7,20,14.2,32.3,24.2,80
2020,7,21,3.3,29.5,25.3,85
2020,7,22,0,32.2,26.3,80
2020,7,23,0,32.5,25.9,75
2020,7,24,4.4,31.6,23.8,82
2020,7,25,1.4,33,25.8,81
2020,7,26,27.4,32.5,24.9,81
2020,7,27,17,31.8,26,83
2020,7,28,12.4,30.7,24.6,89
2020,7,29,2,30.8,25.7,79
2020,7,30,0,32,26.6,79
2020,7,31,114.2,31.8,24.3,79
2020,8,1,47.6,31,23.3,87
2020,8,2,0,31,25.4,86
2020,8,3,1,31,25.2,81
2020,8,4,15,31.6,24.3,79
2020,8,5,3.7,31.1,24.1,82
2020,8,6,42.6,32.3,24.9,83
2020,8,7,2,31.3,25.4,82
2020,8,8,0.2,32.2,26,80
2020,8,9,0,31.6,27.4,79
2020,8,10,0,34,25.6,77
2020,8,11,4,32.6,25.2,78
2020,8,12,28,31.7,24,81
2020,8,13,49.6,31.8,24.4,84
2020,8,14,17.6,31.2,24.5,86
2020,8,15,0,32.5,25.4,81
2020,8,16,38,32.9,24.9,82
2020,8,17,48.2,32.2,23.9,83
2020,8,18,18.2,30.9,24.8,84
2020,8,19,83,30.3,24,88
2020,8,20,3.2,31,24.8,84
2020,8,21,0,32.9,25.6,80
2020,8,22,0,32.5,25.6,77
2020,8,23,0,32.2,25.8,80
2020,8,24,0,33.2,26,77
2020,8,25,0,33.7,26.6,75
2020,8,26,0,33.7,26.2,76
2020,8,27,0,32.9,26.4,76
2020,8,28,-1,33.9,26.9,73
2020,8,29,-1,33.4,27.4,69
2020,8,30,0,32.4,26.1,73
2020,8,31,0,32.4,26.1,77
2020,9,1,5,34.4,24.8,73
2020,9,2,0,33.7,25.6,78
